experiment,instance,instance_stem,instance_variant,drones,iterations,ticks,repeat,exit_code,urgencia,colisiones,tiempo_ejecucion,tiempo_evaluador,tiempo_decodificador
tiempo_vs_ticks_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,500,2,0,16722106.0,0.0,848.518,,
tiempo_vs_ticks_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,500,3,0,14895745.0,0.0,816.853,,
tiempo_vs_ticks_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,500,4,0,15110865.0,0.0,823.239,,
tiempo_vs_ticks_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,500,5,0,18619146.0,1.0,828.395,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,50,1,0,2194297.0,2.0,264.447,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,50,2,0,1853256.0,0.0,260.505,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,50,3,0,1854935.0,0.0,263.445,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,50,4,0,1856257.0,0.0,259.135,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,50,5,0,2042183.0,1.0,260.706,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,100,1,0,7048929.0,1.0,500.233,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,100,2,0,6286102.0,0.0,515.229,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,100,3,0,6445296.0,0.0,513.678,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,100,4,0,7048721.0,1.0,503.461,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,100,5,0,6672766.0,0.0,506.212,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,200,1,0,19518378.0,0.0,1002.51,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,200,2,0,20027275.0,0.0,1024.63,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,200,3,0,21732303.0,0.0,990.991,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,200,4,0,23603054.0,1.0,987.883,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,200,5,0,21665226.0,0.0,1002.95,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,500,1,0,91352901.0,1.0,2527.18,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,500,2,0,93014494.0,3.0,2471.63,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,500,3,0,91438403.0,2.0,2525.64,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,500,4,0,91803916.0,4.0,2476.0,,
tiempo_vs_ticks_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,100000,500,5,0,90775471.0,5.0,2468.12,,
